VolunteerID,VolunteerName,Affiliation,Age,Country,Email,Phone Number,WOID
700001,Giacomo Shepard,New York University,29,USA,giacoma@gmail.com,555-407-6162,400005
700002,Catherine Wainwright,University of California Los Angeles,29,USA,catherin@gmail.com,555-441-6896,NULL
700003,Dan Aldred,University of California San Diego,23,USA,danaldred@gmail.com,555-745-9056,NULL
700004,Otis Payne,University of California Berkeley,18,USA,otispayne@gmail.com,555-541-5121,NULL
700005,Margie Kavanagh,University of California Berkeley,29,USA,margiekavanagh@gmail.com,555-97-6018,NULL
700006,Shyla Sumner,Carnegie Mellon University,23,USA,shylasummer@gmail.com,555-226-4104,400016
700007,Mehmet Strong,Georgia Institute of Technology,22,USA,mehmetstrong@gmail.com,555-223-4207,NULL
700008,Arham Hanson,Massachussets Institute of Technology,21,USA,arhamhanson@gmail.com,555-185-8471,400012
700009,Tymoteusz Pritchard,Columbia University,20,USA,tymoteusz@gmail.com,555-187-3634,NULL
700010,Kaleb French,University of California Berkeley,30,USA,kalebfrance@gmail.com,555-810-618,NULL
